id,folder,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
nsrrid,Administrative,NSRR Subject ID,This subject identifier was created by the National Sleep Research Resource (NSRR) team to more easily match with file downloads.,identifier,,,,,TRUE,
askqst,Administrative,Subject had help completing questionnaire,,choices,,noyes01,cfs_lab_adult_child_questionnaire,,,baseline_lab_adult_child_questionnaire
whenpsg,Administrative,When subject had previous sleep study,,numeric,years from index date,,cfs_lab_adult_child_questionnaire,,,baseline_lab_adult_child_questionnaire
whereqst,Administrative,Location where questionnaire was completed,,choices,,location,cfs_lab_adult_child_questionnaire,,,baseline_lab_adult_child_questionnaire
date,Administrative,Date entered in Epi-Info,Date entered in Epi-Info,date,,,,,,
familyi,Administrative,Family ID,Family ID,identifier,,,,,,
fatherid,Administrative,Obfuscated PersonID of Father of Subject,,identifier,,,,,,
motherid,Administrative,Obfuscated PersonID of Mother of Subject,,identifier,,,,,,
rectype,Administrative,Visit,,choices,,rectype,,,,
relative,Administrative,Relationship to index,,choices,,relative,,,,
visitdat,Administrative,Date of visit,,date,,,,,,
bmi,Anthropometry,Participant's body mass index (BMI),,numeric,kilograms per meter squared,,,,TRUE,
htcm,Anthropometry,Participant's height,,numeric,centimeters,,,,TRUE,
wtkg,Anthropometry,Participant's weight,,numeric,kilograms,,,,TRUE,
backfrnt,Anthropometry,Head Measurement - back to front,,numeric,,,cfs_lab_physiology_questionnaire,,,lab_physio
bizgotc,Anthropometry,Head Measurement - eye socket,,numeric,,,cfs_lab_physiology_questionnaire,,,lab_physio
hhtcm,Anthropometry,Height (cm),,numeric,,,cfs_lab_physiology_questionnaire,,,lab_physio
naisonc,Anthropometry,Head Measurement - naison to chin,,numeric,,,cfs_lab_physiology_questionnaire,,,lab_physio
nutonsil,Anthropometry,"Tonsillar size, Dr. Rosen scale",,choices,,rosenscale,cfs_lab_physiology_questionnaire,,,lab_physio
sideside,Anthropometry,Head Measurement - side to side,,numeric,centimeters,,cfs_lab_physiology_questionnaire,,,lab_physio
abdom1,Anthropometry,abdominal 1,,numeric,millimeters,,,,,
abdom2,Anthropometry,abdominal 2,,numeric,millimeters,,,,,
abdomc1,Anthropometry,abdominal circumference 1,,numeric,centimeters,,,,,
abdomc2,Anthropometry,abdominal circumference 2,,numeric,centimeters,,,,,
bcmperwt,Anthropometry,Cell mass as a percentage of total body weight,,numeric,percent,,,,,
bcmwt,Anthropometry,Weight of body cells,,numeric,kilograms,,,,,
bicep1,Anthropometry,bicep skinfold 1,,numeric,millimeters,,,,,
bicep2,Anthropometry,bicep skinfold 2,,numeric,millimeters,,,,,
bmige30,Anthropometry,BMI greater than 30?,,choices,,noyes01,,,,
bmiround,Anthropometry,BMI (rounded to 3 decimal places),,numeric,kilograms per meter squared,,,,,
calf1,Anthropometry,calf skinfold 1,,numeric,millimeters,,,,,
calf2,Anthropometry,calf skinfold 2,,numeric,millimeters,,,,,
calfc1,Anthropometry,calf circumference 1,,numeric,centimeters,,,,,
calfc2,Anthropometry,calf circumference 2,,numeric,centimeters,,,,,
ecmperwt,Anthropometry,Percentage of body weight due to extracellular mass,,numeric,percent,,,,,
ecmwt,Anthropometry,Weight of extracellular mass,,numeric,kilograms,,,,,
ecwliters,Anthropometry,Volume of extracellular water,,numeric,liters,,,,,
ecwperwt,Anthropometry,Percent of body water attributed to extracellular water,,numeric,percent,,,,,
fatperwt,Anthropometry,Percentage of body weight due to body fat,,numeric,percent,,,,,
fatwt,Anthropometry,Weight of body fat,,numeric,kilograms,,,,,
ffmperwt,Anthropometry,Percentage of body weight due to fat-free mass,,numeric,percent,,,,,
ffmwt,Anthropometry,Weight of fat free mass,,numeric,kilograms,,,,,
hipc1,Anthropometry,hip circumference 1,,numeric,centimeters,,,,,
hipc2,Anthropometry,hip circumference 2,,numeric,centimeters,,,,,
hipcm,Anthropometry,Mean hip circumference,,numeric,centimeters,,,,,
icwliters,Anthropometry,Volume of intracellular water,,numeric,liters,,,,,
icwperwt,Anthropometry,Percentage of body water due to intracellular water,,numeric,percent,,,,,
lnbmi,Anthropometry,Log(BMI),,numeric,,,cfs_lab_adult_child_questionnaire,,,
mchest1,Anthropometry,chest (male only) 1,,numeric,millimeters,,,,,
mchest2,Anthropometry,chest (male only) 2,,numeric,millimeters,,,,,
midaxil1,Anthropometry,midaxillary 1,,numeric,millimeters,,,,,
midaxil2,Anthropometry,midaxillary 1,,numeric,millimeters,,,,,
neckc1,Anthropometry,neck circumference 1,,numeric,centimeters,,,,,
neckc2,Anthropometry,neck circumference 2,,numeric,centimeters,,,,,
neckcm,Anthropometry,Mean neck circumference,,numeric,centimeters,,,,,
obese,Anthropometry,Obese (BMI greater than 30)?,,choices,,noyes01,cfs_lab_adult_child_questionnaire,,,
reactance,Anthropometry,Bioimpedance analysis reactance,,numeric,ohms,,,,,
resistance,Anthropometry,Bioimpedance analysis resistance,,numeric,ohms,,,,,
subscap1,Anthropometry,subscapular 1,,numeric,millimeters,,,,,
subscap2,Anthropometry,subscapular 2,,numeric,millimeters,,,,,
suprail1,Anthropometry,suprailiac 1,,numeric,millimeters,,,,,
suprail2,Anthropometry,suprailiac 2,,numeric,millimeters,,,,,
tbwliters,Anthropometry,Total volume of body water,,numeric,liters,,,,,
tbwperwt,Anthropometry,Total percentage of body weight due to water,,numeric,percent,,,,,
thigh1,Anthropometry,thigh skinfold 1,,numeric,millimeters,,,,,
thigh2,Anthropometry,thigh skinfold 2,,numeric,millimeters,,,,,
thighc1,Anthropometry,thigh circumference 1,,numeric,centimeters,,,,,
thighc2,Anthropometry,thigh circumference 2,,numeric,centimeters,,,,,
tricep1,Anthropometry,tricep skinfold 1,,numeric,millimeters,,,,,
tricep2,Anthropometry,tricep skinfold 2,,numeric,millimeters,,,,,
uparm1,Anthropometry,mid upper arm circumference 1,,numeric,centimeters,,,,,
uparm2,Anthropometry,mid upper arm circumference 2,,numeric,centimeters,,,,,
waistc1,Anthropometry,waist circumference 1,,numeric,centimeters,,,,,
waistc2,Anthropometry,waist circumference 2,,numeric,centimeters,,,,,
waistcm,Anthropometry,Mean waist circumference,,numeric,centimeters,,,,,
wrist1,Anthropometry,wrist circumference 1,,numeric,centimeters,,,,,
wrist2,Anthropometry,wrist circumference 2,,numeric,centimeters,,,,,
biar1,Clinical Data/Body Composition,BIA Total body resistance 1 R,,numeric,ohms,,,,,
biar2,Clinical Data/Body Composition,BIA Total body resistance 2 R,,numeric,ohms,,,,,
biaxc1,Clinical Data/Body Composition,BIA Total body reactant 1 Xc,,numeric,ohms,,,,,
biaxc2,Clinical Data/Body Composition,BIA Total body reactant 1 Xc,,numeric,ohms,,,,,
atriaenl,Clinical Data/Diagnostic Studies/Electrocardiogram,Atrial Enlargement,,choices,,atrialenl,,,,
avcondis,Clinical Data/Diagnostic Studies/Electrocardiogram,Atrioventricular Conduction Disturbance,,choices,,avblock,,,,
avfpa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: Minimum amplitude of the P-wave,,numeric,millimeters,,,,,
avfppa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: maximum P wave amplitude,,numeric,millimeters,,,,,
avfqa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: Absolute amplitude of the Q-wave,,numeric,millimeters,,,,,
avfqd,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: Duration of the Q-wave,,numeric,milliseconds,,,,,
avfra,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: Absolute amplitude of the R-wave,,numeric,millimeters,,,,,
avfrd,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: Duration of the R-wave,,numeric,milliseconds,,,,,
avfrpa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: Amplitude of the secondary R-wave,,numeric,millimeters,,,,,
avfrpd,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF lead: duration of the secondary R wave,,numeric,milliseconds,,,,,
avfsa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: Absolute amplitude of the S-wave,,numeric,millimeters,,,,,
avfsd,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: Duration of the S-wave,,numeric,milliseconds,,,,,
avfspa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: amplitude of the secondary S wave,,numeric,,,,,,
avfste,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: Amplitude of the S-T wave at the endpoint,,numeric,millimeters,,,,,
avfstj,Clinical Data/Diagnostic Studies/Electrocardiogram,AVF: Amplitude of the S-T wave at the J-point,,numeric,,,,,,
avfstm,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: Amplitude of the S-T wave at the midpoint,,numeric,millimeters,,,,,
avfta,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF Lead: Minimum amplitude of the T-wave,,numeric,millimeters,,,,,
avftpa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVF lead: Maximum amplitude of the T wave,,numeric,millimeters,,,,,
avlpa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Minimum amplitude of the P-wave,,numeric,millimeters,,,,,
avlppa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Maximum amplitude of the P-wave,,numeric,millimeters,,,,,
avlqa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Absolute amplitude of the Q-wave,,numeric,millimeters,,,,,
avlqd,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Duration of the Q-wave,,numeric,milliseconds,,,,,
avlra,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Absolute amplitude of the R-wave,,numeric,millimeters,,,,,
avlrd,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Duration of the R-wave,,numeric,milliseconds,,,,,
avlrpa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Amplitude of the secondary R-wave,,numeric,millimeters,,,,,
avlrpd,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Duration of the secondary R wave,,numeric,milliseconds,,,,,
avlsa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL: Absolute amplitude of the S wave (Left arm),,numeric,millimeters,,,,,
avlsd,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL lead: Duration of the S wave (Left arm),,numeric,milliseconds,,,,,
avlspa,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Amplitude of the secondary S wave (Left Arm),,numeric,millimeters,,,,,
avlste,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Amplitude of the S-T wave at the end point of the S wave,,numeric,millimeters,,,,,
avlstj,Clinical Data/Diagnostic Studies/Electrocardiogram,aVL Lead: Amplitude of the S-T wave at the J-point,,numeric,millimeters,,,,,
