folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,nsrrid,NSRR subject ID,This subject identifier was created by the National Sleep Research Resource (NSRR) team to more easily match with file downloads.,identifier,,,,,TRUE,
Administrative,askqst,Subject had help completing questionnaire,,choices,,noyes01,cfs_lab_adult_child_questionnaire,,,baseline_lab_adult_child_questionnaire
Administrative,whenpsg,When subject had previous sleep study,,numeric,years from index date,,cfs_lab_adult_child_questionnaire,,,baseline_lab_adult_child_questionnaire
Administrative,whereqst,Location where questionnaire was completed,,choices,,location,cfs_lab_adult_child_questionnaire,,,baseline_lab_adult_child_questionnaire
Administrative,date,Date entered in Epi-Info,Date entered in Epi-Info,date,,,,,,
Administrative,familyi,Family ID,Family ID,identifier,,,,,,
Administrative,fatherid,Obfuscated PersonID of father of subject,,identifier,,,,,,
Administrative,motherid,Obfuscated PersonID of mother of subject,,identifier,,,,,,
Administrative,rectype,Visit,,choices,,rectype,,,,
Administrative,relative,Relationship to index,,choices,,relative,,,,
Administrative,visitdat,Date of visit,,date,,,,,,
Anthropometry,bmi,Participant's body mass index (BMI),,numeric,kilograms per meter squared,,,,TRUE,
Anthropometry,htcm,Participant's height,,numeric,centimeters,,,,TRUE,
Anthropometry,wtkg,Participant's weight,,numeric,kilograms,,,,TRUE,
Anthropometry,backfrnt,Head measurement - back to front,,numeric,,,cfs_lab_physiology_questionnaire,,,lab_physio
Anthropometry,bizgotc,Head measurement - eye socket,,numeric,,,cfs_lab_physiology_questionnaire,,,lab_physio
Anthropometry,hhtcm,Height (cm),,numeric,,,cfs_lab_physiology_questionnaire,,,lab_physio
Anthropometry,naisonc,Head measurement - naison to chin,,numeric,,,cfs_lab_physiology_questionnaire,,,lab_physio
Anthropometry,nutonsil,"Tonsillar size, Dr. Rosen scale",,choices,,rosenscale,cfs_lab_physiology_questionnaire,,,lab_physio
Anthropometry,sideside,Head measurement - side to side,,numeric,centimeters,,cfs_lab_physiology_questionnaire,,,lab_physio
Anthropometry,abdom1,Abdominal skinfold 1,,numeric,millimeters,,,,,
Anthropometry,abdom2,Abdominal skinfold 2,,numeric,millimeters,,,,,
Anthropometry,abdomc1,Abdominal circumference 1,,numeric,centimeters,,,,,
Anthropometry,abdomc2,Abdominal circumference 2,,numeric,centimeters,,,,,
